Year,Week,BA_NSA,HBA_NSA,WBA_NSA,CBA_NSA,YY_BA_NSA,YY_HBA_NSA,YY_WBA_NSA,YY_CBA_NSA
2006,1,39580,22590,14960,12800,,,,
2006,2,36920,23160,15840,14420,,,,
2006,3,63300,37470,24480,21730,,,,
2006,4,51910,30740,20270,17270,,,,
2006,5,61430,35700,22820,19950,,,,
2006,6,62890,36190,22810,19680,,,,
2006,7,61790,34940,21900,19140,,,,
2006,8,57910,33390,20720,18930,,,,
2006,9,52080,29860,18490,16940,,,,
2006,10,63440,36010,22160,20420,,,,
2006,11,60960,34810,21450,20010,,,,
2006,12,62540,36380,22080,21490,,,,
2006,13,61960,35280,21340,20280,,,,
2006,14,62270,35140,21250,19870,,,,
2006,15,59090,33340,20110,18830,,,,
2006,16,54940,30510,18230,16970,,,,
2006,17,54730,30340,18180,16970,,,,
2006,18,57850,33750,20150,19760,,,,
2006,19,58370,34190,19940,20300,,,,
2006,20,54980,31980,19330,18750,,,,
2006,21,53850,31160,18750,18170,,,,
2006,22,52340,30430,18580,17590,,,,
2006,23,40240,22920,14140,13360,,,,
2006,24,53600,30630,18670,17720,,,,
2006,25,53530,30890,18700,18160,,,,
2006,26,50250,29040,17660,16760,,,,
2006,27,49860,28910,17650,16870,,,,
2006,28,35330,20300,12500,11900,,,,
2006,29,51020,29230,18000,16670,,,,
2006,30,49810,28530,17460,16580,,,,
2006,31,48770,28080,17260,16090,,,,
2006,32,48230,27870,17120,15990,,,,
2006,33,48930,27980,16740,16190,,,,
2006,34,48690,27810,16800,15640,,,,
2006,35,50030,28470,17360,16120,,,,
2006,36,49260,27640,16660,15700,,,,
2006,37,36730,21130,12770,12360,,,,
2006,38,48350,27570,16460,15870,,,,
2006,39,48180,27730,16450,15890,,,,
2006,40,49720,28340,17020,16270,,,,
2006,41,48950,28040,16860,16060,,,,
2006,42,37310,21640,13010,12620,,,,
2006,43,44830,25930,15540,14750,,,,
2006,44,45420,26560,15970,15200,,,,
2006,45,44700,26230,15940,15260,,,,
2006,46,35360,20860,12520,12040,,,,
2006,47,50500,29290,17710,16980,,,,
2006,48,35770,20390,12310,11390,,,,
2006,49,43310,25370,15560,14630,,,,
2006,50,44670,26110,16070,15090,,,,
2006,51,45490,26650,16720,15310,,,,
2006,52,60800,35470,22320,20190,,,,
2007,1,41440,24360,15840,14320,4.7,7.84,5.88,11.88
2007,2,17620,10690,7110,6490,-52.28,-53.84,-55.11,-54.99
2007,3,74560,44800,28820,26000,17.79,19.56,17.73,19.65
2007,4,50830,30390,19270,17120,-2.08,-1.14,-4.93,-0.87
2007,5,61230,35780,22250,19900,-0.33,0.22,-2.5,-0.25
2007,6,61290,35550,22450,19140,-2.54,-1.77,-1.58,-2.74
2007,7,57370,32980,20190,18070,-7.15,-5.61,-7.81,-5.59
2007,8,54140,30980,19100,17160,-6.51,-7.22,-7.82,-9.35
2007,9,45900,26070,15620,14310,-11.87,-12.69,-15.52,-15.53
2007,10,61500,34920,21200,19320,-3.06,-3.03,-4.33,-5.39
2007,11,66150,38030,23050,21520,8.51,9.25,7.46,7.55
2007,12,59610,34460,20700,19870,-4.69,-5.28,-6.25,-7.54
2007,13,59220,33870,20440,19210,-4.42,-4.0,-4.22,-5.28
2007,14,57310,32970,19900,18430,-7.97,-6.18,-6.35,-7.25
2007,15,56190,31880,19330,17380,-4.91,-4.38,-3.88,-7.7
2007,16,53200,29940,18150,15950,-3.17,-1.87,-0.44,-6.01
2007,17,55490,30720,18270,16520,1.39,1.25,0.5,-2.65
2007,18,57480,33300,20200,18420,-0.64,-1.33,0.25,-6.78
2007,19,56280,32500,19730,18250,-3.58,-4.94,-1.05,-10.1
2007,20,53460,30740,18390,17450,-2.76,-3.88,-4.86,-6.93
2007,21,53220,31160,18160,18130,-1.17,0.0,-3.15,-0.22
2007,22,53860,31440,18940,18160,2.9,3.32,1.94,3.24
2007,23,41440,23950,14500,13770,2.98,4.49,2.55,3.07
2007,24,54530,31090,18860,17720,1.74,1.5,1.02,0.0
2007,25,50780,29170,17590,16590,-5.14,-5.57,-5.94,-8.65
2007,26,50230,29000,17800,16580,-0.04,-0.14,0.79,-1.07
2007,27,50800,29490,17920,16840,1.89,2.01,1.53,-0.18
2007,28,38480,22460,13840,12840,8.92,10.64,10.72,7.9
2007,29,48400,27800,16910,15560,-5.14,-4.89,-6.06,-6.66
2007,30,50200,28950,17570,16280,0.78,1.47,0.63,-1.81
2007,31,47390,26690,16140,14740,-2.83,-4.95,-6.49,-8.39
2007,32,52990,30620,18550,17120,9.87,9.87,8.35,7.07
2007,33,48820,28090,16950,15980,-0.22,0.39,1.25,-1.3
2007,34,46110,26410,15910,14830,-5.3,-5.03,-5.3,-5.18
2007,35,48320,27910,16560,15920,-3.42,-1.97,-4.61,-1.24
2007,36,50050,28710,17250,16180,1.6,3.87,3.54,3.06
2007,37,35250,19540,11510,10840,-4.03,-7.52,-9.87,-12.3
2007,38,49400,27900,16460,15600,2.17,1.2,0.0,-1.7
2007,39,60640,31370,17050,17720,25.86,13.13,3.65,11.52
2007,40,54530,27390,14130,15220,9.67,-3.35,-16.98,-6.45
2007,41,54660,27370,14150,15600,11.66,-2.39,-16.07,-2.86
2007,42,43180,21300,10480,12000,15.73,-1.57,-19.45,-4.91
2007,43,51220,24770,12180,13720,14.25,-4.47,-21.62,-6.98
2007,44,50390,25020,12700,13730,10.94,-5.8,-20.48,-9.67
2007,45,49050,24350,12370,13530,9.73,-7.17,-22.4,-11.34
2007,46,48000,23680,11710,13080,35.75,13.52,-6.47,8.64
2007,47,42610,21160,10700,11810,-15.62,-27.76,-39.58,-30.45
2007,48,33760,16670,8520,9260,-5.62,-18.24,-30.79,-18.7
2007,49,46190,22750,11670,12660,6.65,-10.33,-25.0,-13.47
2007,50,47360,23320,11930,13060,6.02,-10.69,-25.76,-13.45
2007,51,47130,23560,12120,13080,3.61,-11.59,-27.51,-14.57
2007,52,50250,25420,13830,14260,-17.35,-28.33,-38.04,-29.37
2008,1,32470,16630,9400,9420,-21.65,-31.73,-40.66,-34.22
2008,2,33750,17700,10280,10290,91.54,65.58,44.59,58.55
2008,3,60520,30730,16620,16880,-18.83,-31.41,-42.33,-35.08
2008,4,60280,30550,15880,16520,18.59,0.53,-17.59,-3.5
2008,5,54580,26740,13970,14170,-10.86,-25.27,-37.21,-28.79
2008,6,61480,30410,15640,15690,0.31,-14.46,-30.33,-18.03
2008,7,57290,27980,14300,14990,-0.14,-15.16,-29.17,-17.04
2008,8,55620,26810,13820,14190,2.73,-13.46,-27.64,-17.31
2008,9,52400,25470,13000,13640,14.16,-2.3,-16.77,-4.68
2008,10,61610,30150,15430,15590,0.18,-13.66,-27.22,-19.31
2008,11,59920,29190,14800,15620,-9.42,-23.24,-35.79,-27.42
2008,12,59210,29000,14430,16070,-0.67,-15.84,-30.29,-19.12
2008,13,57540,28150,13870,15580,-2.84,-16.89,-32.14,-18.9
2008,14,56030,27240,13810,14920,-2.23,-17.38,-30.6,-19.05
2008,15,58290,28200,14010,14790,3.74,-11.54,-27.52,-14.9
2008,16,56520,26600,12830,13930,6.24,-11.16,-29.31,-12.66
2008,17,56180,26580,12840,13740,1.24,-13.48,-29.72,-16.83
2008,18,54570,27030,13380,14620,-5.06,-18.83,-33.76,-20.63
2008,19,55600,27650,13980,15100,-1.21,-14.92,-29.14,-17.26
2008,20,53870,26630,13050,14690,0.77,-13.37,-29.04,-15.82
2008,21,53230,25980,12910,14190,0.02,-16.62,-28.91,-21.73
2008,22,51650,25210,12640,13810,-4.1,-19.82,-33.26,-23.95
2008,23,42490,20980,10600,11410,2.53,-12.4,-26.9,-17.14
2008,24,51710,25120,12590,13630,-5.17,-19.2,-33.24,-23.08
2008,25,48880,23910,11960,13230,-3.74,-18.03,-32.01,-20.25
2008,26,47930,23730,12010,12990,-4.58,-18.17,-32.53,-21.65
2008,27,40790,20110,10230,10920,-19.7,-31.81,-42.91,-35.15
2008,28,38780,19160,9760,10550,0.78,-14.69,-29.48,-17.83
2008,29,47580,23150,11700,12650,-1.69,-16.73,-30.81,-18.7
2008,30,48280,23720,11870,12620,-3.82,-18.07,-32.44,-22.48
2008,31,48680,23830,11920,12690,2.72,-10.72,-26.15,-13.91
2008,32,48420,23650,11870,12470,-8.62,-22.76,-36.01,-27.16
2008,33,56160,25630,13430,12420,15.03,-8.76,-20.77,-22.28
2008,34,46180,22280,11110,11860,0.15,-15.64,-30.17,-20.03
2008,35,47030,22410,11220,11830,-2.67,-19.71,-32.25,-25.69
2008,36,47610,22650,11360,12050,-4.88,-21.11,-34.14,-25.53
2008,37,38590,18440,9520,9830,9.48,-5.63,-17.29,-9.32
2008,38,48680,23610,11620,12540,-1.46,-15.38,-29.4,-19.62
2008,39,47130,22900,11310,12270,-22.28,-27.0,-33.67,-30.76
2008,40,47840,23010,11530,12250,-12.27,-15.99,-18.4,-19.51
2008,41,46430,22220,10880,11900,-15.06,-18.82,-23.11,-23.72
2008,42,45190,21350,10500,11310,4.65,0.23,0.19,-5.75
2008,43,38920,18750,9230,9920,-24.01,-24.3,-24.22,-27.7
2008,44,45400,21880,10670,11650,-9.9,-12.55,-15.98,-15.15
2008,45,43780,21360,10680,11230,-10.74,-12.28,-13.66,-17.0
2008,46,42590,20600,10130,11000,-11.27,-13.01,-13.49,-15.9
2008,47,41180,19910,9640,10590,-3.36,-5.91,-9.91,-10.33
2008,48,44530,21260,10410,11200,31.9,27.53,22.18,20.95
2008,49,29480,14240,7120,7620,-36.18,-37.41,-38.99,-39.81
2008,50,41660,20050,9980,10790,-12.04,-14.02,-16.35,-17.38
2008,51,43230,21220,10990,11300,-8.27,-9.93,-9.32,-13.61
2008,52,41940,20560,10830,11050,-16.54,-19.12,-21.69,-22.51
2008,53,23770,11940,6530,6680,,,,
2009,1,32480,16080,8710,8760,0.03,-3.31,-7.34,-7.01
2009,2,55290,28080,15410,15320,63.82,58.64,49.9,48.88
2009,3,53980,26630,13820,14090,-10.81,-13.34,-16.85,-16.53
2009,4,47950,23440,12080,12210,-20.45,-23.27,-23.93,-26.09
2009,5,54330,25950,13440,13210,-0.46,-2.95,-3.79,-6.77
2009,6,53280,25190,12640,12750,-13.34,-17.17,-19.18,-18.74
2009,7,51360,24400,12310,12710,-10.35,-12.79,-13.92,-15.21
2009,8,49110,23150,11670,12010,-11.7,-13.65,-15.56,-15.36
2009,9,53980,25660,12660,13460,3.02,0.75,-2.62,-1.32
2009,10,53480,25500,12610,13500,-13.2,-15.42,-18.28,-13.41
2009,11,53680,25730,12570,13880,-10.41,-11.85,-15.07,-11.14
2009,12,53850,25820,12840,13780,-9.05,-10.97,-11.02,-14.25
2009,13,54100,25730,12810,13470,-5.98,-8.6,-7.64,-13.54
2009,14,52930,24900,12460,12860,-5.53,-8.59,-9.78,-13.81
2009,15,49480,23130,11320,12000,-15.11,-17.98,-19.2,-18.86
2009,16,50160,23020,11040,11870,-11.25,-13.46,-13.95,-14.79
2009,17,51330,24930,12520,13220,-8.63,-6.21,-2.49,-3.78
2009,18,51740,25310,12670,13490,-5.19,-6.36,-5.31,-7.73
2009,19,49380,23750,11820,12760,-11.19,-14.1,-15.45,-15.5
2009,20,49140,23520,11720,12480,-8.78,-11.68,-10.19,-15.04
2009,21,48390,23050,11400,12380,-9.09,-11.28,-11.7,-12.76
2009,22,39910,18910,9520,10090,-22.73,-24.99,-24.68,-26.94
2009,23,49120,23240,11500,12170,15.6,10.77,8.49,6.66
2009,24,48040,22880,11530,11970,-7.1,-8.92,-8.42,-12.18
2009,25,47110,22400,11310,11750,-3.62,-6.32,-5.43,-11.19
2009,26,45410,21650,10820,11460,-5.26,-8.77,-9.91,-11.78
2009,27,38430,18400,9300,9860,-5.79,-8.5,-9.09,-9.71
2009,28,47020,22120,11090,11460,21.25,15.45,13.63,8.63
2009,29,45740,21670,10750,11550,-3.87,-6.39,-8.12,-8.7
2009,30,45330,21180,10620,11110,-6.11,-10.71,-10.53,-11.97
2009,31,45870,21770,10950,11330,-5.77,-8.64,-8.14,-10.72
2009,32,44640,21060,10260,11070,-7.81,-10.95,-13.56,-11.23
2009,33,43680,20220,9940,10420,-22.22,-21.11,-25.99,-16.1
2009,34,44740,20950,10490,10890,-3.12,-5.97,-5.58,-8.18
2009,35,46920,22000,10890,11550,-0.23,-1.83,-2.94,-2.37
2009,36,47190,21780,10750,11700,-0.88,-3.84,-5.37,-2.9
2009,37,36470,16860,8350,8780,-5.49,-8.57,-12.29,-10.68
2009,38,45550,21150,10370,11290,-6.43,-10.42,-10.76,-9.97
2009,39,46120,21330,10360,11510,-2.14,-6.86,-8.4,-6.19
2009,40,44520,20600,10010,10920,-6.94,-10.47,-13.18,-10.86
2009,41,46520,21440,10240,11350,0.19,-3.51,-5.88,-4.62
2009,42,39840,18530,8910,9680,-11.84,-13.21,-15.14,-14.41
2009,43,46340,21500,10250,11320,19.06,14.67,11.05,14.11
2009,44,45300,21270,10260,11280,-0.22,-2.79,-3.84,-3.18
2009,45,44870,20890,10120,11040,2.49,-2.2,-5.24,-1.69
2009,46,41360,19110,9230,10010,-2.89,-7.23,-8.88,-9.0
2009,47,43590,20330,9900,10430,5.85,2.11,2.7,-1.51
2009,48,31560,14710,7200,7730,-29.13,-30.81,-30.84,-30.98
2009,49,42200,19720,9680,10250,43.15,38.48,35.96,34.51
2009,50,44160,20570,10250,10880,6.0,2.59,2.71,0.83
2009,51,43460,20290,10350,10610,0.53,-4.38,-5.82,-6.11
2009,52,30100,14460,7650,7840,-28.23,-29.67,-29.36,-29.05
2010,1,30230,14490,7910,7500,-6.93,-9.89,-9.18,-14.38
2010,2,55000,26400,14030,13770,-0.52,-5.98,-8.96,-10.12
2010,3,52420,24680,12540,12740,-2.89,-7.32,-9.26,-9.58
2010,4,50010,23200,11700,11620,4.3,-1.02,-3.15,-4.83
2010,5,59190,27280,13650,13460,8.95,5.13,1.56,1.89
2010,6,56770,26000,12890,12830,6.55,3.22,1.98,0.63
2010,7,50330,22820,11160,11490,-2.01,-6.48,-9.34,-9.6
2010,8,48880,21980,10690,11000,-0.47,-5.05,-8.4,-8.41
2010,9,55390,24980,12180,12580,2.61,-2.65,-3.79,-6.54
2010,10,57600,25930,12570,13150,7.7,1.69,-0.32,-2.59
2010,11,57220,26250,12610,13580,6.59,2.02,0.32,-2.16
2010,12,49880,23820,11500,12920,-7.37,-7.75,-10.44,-6.24
2010,13,57350,26000,12520,13410,6.01,1.05,-2.26,-0.45
2010,14,53380,24350,11760,12350,0.85,-2.21,-5.62,-3.97
2010,15,50950,22860,10930,11540,2.97,-1.17,-3.45,-3.83
2010,16,53000,23160,10470,11300,5.66,0.61,-5.16,-4.8
2010,17,53000,24910,11660,12950,3.25,-0.08,-6.87,-2.04
2010,18,54210,25440,12170,12950,4.77,0.51,-3.95,-4.0
2010,19,51650,23900,11250,12580,4.6,0.63,-4.82,-1.41
2010,20,51050,23390,11160,12250,3.89,-0.55,-4.78,-1.84
2010,21,50890,23440,11210,12260,5.17,1.69,-1.67,-0.97
2010,22,50860,23330,11190,12230,27.44,23.37,17.54,21.21
2010,23,40180,18170,8790,9310,-18.2,-21.82,-23.57,-23.5
2010,24,48580,22050,10660,11170,1.12,-3.63,-7.55,-6.68
2010,25,46900,21580,10580,10880,-0.45,-3.66,-6.45,-7.4
2010,26,46350,21260,10160,10900,2.07,-1.8,-6.1,-4.89
2010,27,46200,21340,10310,10980,20.22,15.98,10.86,11.36
2010,28,37690,17140,8320,8700,-19.84,-22.51,-24.98,-24.08
2010,29,46600,21060,10010,10700,1.88,-2.81,-6.88,-7.36
2010,30,46040,21490,9990,10800,1.57,1.46,-5.93,-2.79
2010,31,45290,21060,9860,10840,-1.26,-3.26,-9.95,-4.32
2010,32,47170,22260,10220,11590,5.67,5.7,-0.39,4.7
2010,33,44340,20870,9850,10560,1.51,3.21,-0.91,1.34
2010,34,47280,21770,10050,10960,5.68,3.91,-4.19,0.64
2010,35,48420,22400,10410,11290,3.2,1.82,-4.41,-2.25
2010,36,47840,21920,10200,10590,1.38,0.64,-5.12,-9.49
2010,37,37260,16810,7800,8280,2.17,-0.3,-6.59,-5.69
2010,38,47350,21700,9940,10670,3.95,2.6,-4.15,-5.49
2010,39,48750,22100,10250,10820,5.7,3.61,-1.06,-5.99
2010,40,48280,22090,10260,10800,8.45,7.23,2.5,-1.1
2010,41,46730,21330,9610,10660,0.45,-0.51,-6.15,-6.08
2010,42,41840,19140,8480,9520,5.02,3.29,-4.83,-1.65
2010,43,49120,22560,10390,11140,6.0,4.93,1.37,-1.59
2010,44,47830,21910,10140,10660,5.58,3.01,-1.17,-5.5
2010,45,46060,21450,9780,10740,2.65,2.68,-3.36,-2.72
2010,46,44490,20230,9220,10170,7.57,5.86,-0.11,1.6
2010,47,47890,22070,10140,10970,9.86,8.56,2.42,5.18
2010,48,31470,14280,6530,7280,-0.29,-2.92,-9.31,-5.82
2010,49,44290,20430,9480,10420,4.95,3.6,-2.07,1.66
2010,50,47740,21700,10170,10760,8.11,5.49,-0.78,-1.1
2010,51,37120,17310,8350,8770,-14.59,-14.69,-19.32,-17.34
2010,52,33670,16170,8170,8350,11.86,11.83,6.8,6.51
2011,1,29760,14480,7330,7310,-1.55,-0.07,-7.33,-2.53
2011,2,62880,30240,15190,14790,14.33,14.55,8.27,7.41
2011,3,59320,27350,13090,12610,13.16,10.82,4.39,-1.02
2011,4,56500,25710,11890,11470,12.98,10.82,1.62,-1.29
2011,5,62700,28030,12870,12140,5.93,2.75,-5.71,-9.81
2011,6,59790,26520,12100,11610,5.32,2.0,-6.13,-9.51
2011,7,57770,25560,11750,11600,14.78,12.01,5.29,0.96
2011,8,57890,25770,11700,11790,18.43,17.24,9.45,7.18
2011,9,55110,24410,11190,11430,-0.51,-2.28,-8.13,-9.14
2011,10,59500,26450,11990,12500,3.3,2.01,-4.61,-4.94
2011,11,58570,26690,12010,13000,2.36,1.68,-4.76,-4.27
2011,12,58160,26990,11890,13390,16.6,13.31,3.39,3.64
2011,13,57940,26530,11910,12850,1.03,2.04,-4.87,-4.18
2011,14,59180,26850,12160,13110,10.87,10.27,3.4,6.15
2011,15,56890,25540,11260,12160,11.66,11.72,3.02,5.37
2011,16,55080,24360,10870,11170,3.92,5.18,3.82,-1.15
2011,17,48500,21950,9860,10700,-8.49,-11.88,-15.44,-17.37
2011,18,31010,15140,7290,7490,-42.8,-40.49,-40.1,-42.16
2011,19,51620,25240,12380,12820,-0.06,5.61,10.04,1.91
2011,20,49010,23370,11200,11750,-4.0,-0.09,0.36,-4.08
2011,21,50600,23570,11200,11500,-0.57,0.55,-0.09,-6.2
2011,22,48790,22980,10980,11280,-4.07,-1.5,-1.88,-7.77
2011,23,44230,20130,9400,9950,10.08,10.79,6.94,6.87
2011,24,54730,25270,11720,12620,12.66,14.6,9.94,12.98
2011,25,53160,24840,11080,12520,13.35,15.11,4.73,15.07
2011,26,49760,22880,10580,11370,7.36,7.62,4.13,4.31
2011,27,49150,22570,10470,10990,6.39,5.76,1.55,0.09
2011,28,38000,17440,7820,8510,0.82,1.75,-6.01,-2.18
2011,29,47770,21490,9700,10470,2.51,2.04,-3.1,-2.15
2011,30,48100,22070,10020,10860,4.47,2.7,0.3,0.56
2011,31,47850,21830,10050,10590,5.65,3.66,1.93,-2.31
2011,32,47460,21520,9680,10650,0.61,-3.32,-5.28,-8.11
2011,33,47160,21420,9660,10320,6.36,2.64,-1.93,-2.27
2011,34,46450,20930,9360,10120,-1.76,-3.86,-6.87,-7.66
2011,35,47010,21250,9560,10260,-2.91,-5.13,-8.17,-9.12
2011,36,46690,20990,9600,10240,-2.4,-4.24,-5.88,-3.31
2011,37,37420,17060,7560,8320,0.43,1.49,-3.08,0.48
2011,38,48650,21890,9760,10690,2.75,0.88,-1.81,0.19
2011,39,47060,21510,9840,10610,-3.47,-2.67,-4.0,-1.94
2011,40,42520,19590,9030,9760,-11.93,-11.32,-11.99,-9.63
2011,41,48500,22110,10000,10840,3.79,3.66,4.06,1.69
2011,42,40220,18400,8180,9060,-3.87,-3.87,-3.54,-4.83
2011,43,47200,21520,9570,10530,-3.91,-4.61,-7.89,-5.48
2011,44,47480,21490,9900,10530,-0.73,-1.92,-2.37,-1.22
2011,45,45730,20690,9290,10140,-0.72,-3.54,-5.01,-5.59
2011,46,38930,17330,7810,8320,-12.5,-14.34,-15.29,-18.19
2011,47,52260,23490,10550,11320,9.13,6.43,4.04,3.19
2011,48,32760,14560,6540,7090,4.1,1.96,0.15,-2.61
2011,49,44030,19620,8790,9550,-0.59,-3.96,-7.28,-8.35
2011,50,46100,21150,9870,10370,-3.44,-2.53,-2.95,-3.62
2011,51,46650,21350,10170,10390,25.67,23.34,21.8,18.47
2011,52,44690,21120,10350,10570,32.73,30.61,26.68,26.59
2012,1,3680,1870,1200,1010,-87.63,-87.09,-83.63,-86.18
2012,2,50320,24390,12430,12130,-19.97,-19.35,-18.17,-17.99
2012,3,66650,30340,14620,14520,12.36,10.93,11.69,15.15
2012,4,58210,25430,12010,11670,3.03,-1.09,1.01,1.74
2012,5,48710,21520,10060,9710,-22.31,-23.23,-21.83,-20.02
2012,6,61710,27080,12650,12030,3.21,2.11,4.55,3.62
2012,7,60600,26160,11930,12080,4.9,2.35,1.53,4.14
2012,8,57220,25180,11560,11630,-1.16,-2.29,-1.2,-1.36
2012,9,55170,24180,10940,11260,0.11,-0.94,-2.23,-1.49
2012,10,61310,26740,11950,12570,3.04,1.1,-0.33,0.56
2012,11,60570,26580,11820,12380,3.41,-0.41,-1.58,-4.77
2012,12,60150,27140,11940,13430,3.42,0.56,0.42,0.3
2012,13,57520,26120,11540,12780,-0.72,-1.55,-3.11,-0.54
2012,14,59300,26110,11740,12300,0.2,-2.76,-3.45,-6.18
2012,15,56880,25230,11310,12030,-0.02,-1.21,0.44,-1.07
2012,16,53720,23500,10220,11130,-2.47,-3.53,-5.98,-0.36
2012,17,56000,24390,10520,11370,15.46,11.12,6.69,6.26
2012,18,54230,24860,11250,12020,74.88,64.2,54.32,60.48
2012,19,54360,25070,11500,12010,5.31,-0.67,-7.11,-6.32
2012,20,52810,24410,10840,12250,7.75,4.45,-3.21,4.26
2012,21,51490,23530,10540,11510,1.76,-0.17,-5.89,0.09
2012,22,50220,23070,10330,11530,2.93,0.39,-5.92,2.22
2012,23,41190,18710,8580,9100,-6.87,-7.05,-8.72,-8.54
2012,24,50750,22960,10180,11130,-7.27,-9.14,-13.14,-11.81
2012,25,48640,22050,9960,10620,-8.5,-11.23,-10.11,-15.18
2012,26,48720,22260,10080,10580,-2.09,-2.71,-4.73,-6.95
2012,27,48710,22370,10240,10960,-0.9,-0.89,-2.2,-0.27
2012,28,38250,17320,7770,8430,0.66,-0.69,-0.64,-0.94
2012,29,45480,20650,9180,10210,-4.79,-3.91,-5.36,-2.48
2012,30,46870,21230,9540,10280,-2.56,-3.81,-4.79,-5.34
2012,31,46730,21090,9450,10180,-2.34,-3.39,-5.97,-3.87
2012,32,46590,20950,9330,9980,-1.83,-2.65,-3.62,-6.29
2012,33,45370,20080,8750,9760,-3.8,-6.26,-9.42,-5.43
